B Id,Thomas Id
hconres208-93,884
hconres209-93,298
hconres210-93,215
hconres211-93,625
hconres212-93,625
hconres213-93,10
hconres213-93,40
hconres213-93,104
hconres213-93,149
hconres213-93,150
hconres213-93,175
hconres213-93,195
hconres213-93,215
hconres213-93,255
hconres213-93,275
hconres213-93,341
hconres213-93,353
hconres213-93,384
hconres213-93,401
hconres213-93,402
hconres213-93,411
hconres213-93,430
hconres213-93,445
hconres213-93,458
hconres213-93,464
hconres213-93,493
hconres213-93,503
hconres213-93,515
hconres213-93,522
hconres213-93,529
hconres214-93,458
hconres214-93,614
hconres214-93,656
hconres214-93,765
hconres214-93,787
hconres214-93,793
hconres214-93,814
hconres214-93,820
hconres214-93,929
hconres214-93,944
hconres214-93,973
hconres214-93,987
hconres214-93,996
hconres214-93,1033
hconres214-93,1040
hconres214-93,1093
hconres214-93,1101
hconres214-93,1152
hconres214-93,1159
hconres214-93,1193
hconres214-93,1241
hconres214-93,1253
hconres215-93,749
hconres216-93,944
hconres217-93,286
hconres218-93,286
hconres219-93,581
hconres220-93,3
hconres220-93,81
hconres220-93,234
hconres220-93,263
hconres220-93,284
hconres220-93,318
hconres220-93,336
hconres220-93,430
hconres220-93,477
hconres220-93,503
hconres220-93,515
hconres220-93,522
hconres220-93,656
hconres220-93,678
hconres220-93,680
hconres220-93,749
hconres220-93,804
hconres220-93,818
hconres220-93,944
hconres220-93,1011
hconres220-93,1017
hconres220-93,1033
hconres220-93,1121
hconres220-93,1159
hconres221-93,874
hconres222-93,477
hconres223-93,422
hconres223-93,1146
hconres224-93,509
hconres225-93,1246
hconres226-93,156
hconres226-93,458
hconres226-93,477
hconres226-93,762
hconres226-93,1115
hconres226-93,1233
hconres226-93,1239
hconres227-93,987
hconres228-93,781
hconres228-93,1239
hconres229-93,16
hconres229-93,120
hconres229-93,149
hconres229-93,215
hconres229-93,253
hconres229-93,275
hconres229-93,315
hconres229-93,319
hconres229-93,337
hconres229-93,386
hconres229-93,422
hconres229-93,471
hconres229-93,477
hconres229-93,482
hconres229-93,555
hconres229-93,611
hconres229-93,625
hconres229-93,1168
hconres230-93,656
hconres230-93,678
hconres230-93,704
hconres230-93,749
hconres230-93,820
hconres230-93,842
hconres230-93,892
hconres230-93,907
hconres230-93,920
hconres230-93,1016
hconres230-93,1119
hconres230-93,1121
hconres230-93,1134
hconres230-93,1145
hconres230-93,1168
hconres230-93,1241
hconres230-93,1246
hconres230-93,1257
hconres231-93,1267
hconres232-93,118
hconres232-93,290
hconres232-93,402
hconres232-93,458
hconres232-93,523
hconres232-93,548
hconres232-93,560
hconres232-93,574
hconres232-93,625
hconres232-93,661
hconres232-93,790
hconres232-93,816
hconres232-93,907
hconres232-93,974
hconres232-93,992
hconres232-93,1028
hconres232-93,1253
hconres233-93,117
hconres234-93,139
hconres235-93,86
hconres235-93,458
hconres235-93,961
hconres236-93,399
hconres236-93,874
hconres237-93,963
hconres238-93,103
hconres238-93,1168
hconres239-93,1198
hconres240-93,225
hconres240-93,391
hconres240-93,464
hconres240-93,625
hconres240-93,634
hconres240-93,682
hconres240-93,972
hconres240-93,974
hconres240-93,982
hconres240-93,983
hconres240-93,1073
hconres240-93,1198
hconres241-93,134
hconres241-93,139
hconres241-93,970
hconres241-93,1198
hconres242-93,320
hconres243-93,1016
hconres244-93,320
hconres244-93,513
hconres244-93,1117
hconres244-93,1198
hconres245-93,503
hconres245-93,1198
hconres246-93,459
hconres247-93,17
hconres248-93,92
hconres248-93,139
hconres248-93,461
hconres248-93,920
hconres248-93,1221
hconres248-93,1241
hconres249-93,560
hconres250-93,493
hconres251-93,1121
hconres252-93,719
hconres252-93,1096
hconres253-93,284
hconres254-93,625
hconres255-93,467
hconres256-93,117
hconres256-93,206
hconres256-93,430
hconres256-93,435
hconres256-93,500
hconres256-93,608
hconres256-93,643
hconres256-93,1228
hconres257-93,907
hconres258-93,907
hconres259-93,253
hconres260-93,482
hconres261-93,33
hconres262-93,874
hconres263-93,201
hconres263-93,202
hconres263-93,290
hconres263-93,493
hconres263-93,625
hconres263-93,678
hconres263-93,707
hconres263-93,970
hconres263-93,1056
hconres263-93,1191
hconres263-93,1261
hconres264-93,149
hconres264-93,820
hconres264-93,874
hconres264-93,1121
hconres265-93,262
hconres265-93,842
hconres265-93,1187
hconres265-93,1239
hconres266-93,1225
hconres267-93,6
hconres267-93,17
hconres267-93,26
hconres267-93,31
hconres267-93,191
hconres267-93,215
hconres267-93,227
hconres267-93,249
hconres267-93,271
hconres267-93,309
hconres267-93,500
hconres267-93,581
hconres267-93,707
hconres267-93,827
hconres267-93,842
hconres267-93,847
hconres267-93,969
hconres267-93,1233
hconres267-93,1234
hconres267-93,1241
hconres267-93,1260
hconres268-93,46
hconres268-93,92
hconres268-93,143
hconres268-93,147
hconres268-93,148
hconres268-93,386
hconres268-93,440
hconres268-93,469
hconres268-93,477
hconres268-93,568
hconres268-93,629
hconres268-93,707
hconres268-93,945
hconres268-93,992
hconres268-93,1019
hconres268-93,1132
hconres268-93,1153
hconres268-93,1180
hconres268-93,1235
hconres268-93,1250
hconres268-93,1265
hconres269-93,820
hconres270-93,1235
hconres271-93,568
hconres272-93,1255
hconres273-93,119
hconres274-93,1260
hconres275-93,489
hconres276-93,42
hconres276-93,139
hconres276-93,287
hconres276-93,296
hconres276-93,321
hconres276-93,384
hconres276-93,444
hconres276-93,542
hconres276-93,570
hconres276-93,574
hconres276-93,576
hconres276-93,661
hconres276-93,707
hconres276-93,830
hconres276-93,931
hconres276-93,1028
hconres276-93,1073
hconres276-93,1086
hconres276-93,1091
hconres276-93,1108
hconres276-93,1168
hconres276-93,1186
hconres276-93,1221
hconres277-93,741
hconres278-93,895
hconres279-93,1
hconres279-93,128
hconres279-93,139
hconres279-93,315
hconres279-93,568
hconres279-93,931
hconres279-93,1108
hconres279-93,1168
hconres280-93,31
hconres280-93,42
hconres280-93,46
hconres280-93,69
hconres280-93,147
hconres280-93,187
hconres280-93,195
hconres280-93,249
hconres280-93,261
hconres280-93,286
hconres280-93,290
hconres280-93,296
hconres280-93,320
hconres280-93,416
hconres280-93,440
hconres280-93,458
hconres280-93,542
hconres280-93,561
hconres280-93,568
hconres280-93,570
hconres280-93,625
hconres280-93,629
hconres280-93,661
hconres280-93,724
hconres280-93,760
hconres281-93,568
hconres281-93,741
hconres281-93,827
hconres281-93,872
hconres281-93,920
hconres281-93,970
hconres281-93,982
hconres281-93,992
hconres281-93,1091
hconres281-93,1132
hconres281-93,1186
hconres281-93,1202
hconres281-93,1221
hconres281-93,1233
hconres281-93,1234
hconres281-93,1250
hconres281-93,1253
hconres281-93,1255
hconres281-93,1265
hconres282-93,129
hconres283-93,564
hconres284-93,260
hconres284-93,568
hconres284-93,890
hconres284-93,1200
hconres284-93,1246
hconres284-93,1260
hconres285-93,26
hconres285-93,138
hconres285-93,147
hconres285-93,319
hconres286-93,568
hconres286-93,731
hconres286-93,974
hconres287-93,418
hconres287-93,992
hconres287-93,1132
hconres288-93,528
hconres288-93,568
hconres288-93,843
hconres289-93,907
hconres290-93,220
hconres291-93,26
hconres291-93,84
hconres291-93,92
hconres291-93,133
hconres291-93,159
hconres291-93,213
hconres291-93,218
hconres291-93,341
hconres291-93,445
hconres291-93,469
hconres291-93,477
hconres291-93,529
hconres291-93,568
hconres291-93,574
hconres291-93,600
hconres291-93,622
hconres291-93,801
hconres291-93,842
hconres291-93,856
hconres291-93,919
hconres291-93,936
hconres291-93,951
hconres291-93,991
hconres291-93,1016
hconres291-93,1198
hconres292-93,973
hconres293-93,115
hconres293-93,227
hconres293-93,548
hconres293-93,555
hconres293-93,568
hconres293-93,769
hconres293-93,814
hconres293-93,863
hconres293-93,1019
hconres293-93,1052
hconres293-93,1053
hconres293-93,1233
hconres293-93,1235
hconres293-93,1241
hconres293-93,1257
hconres294-93,1134
hconres295-93,148
hconres295-93,167
hconres295-93,201
hconres295-93,206
hconres295-93,220
hconres295-93,271
hconres295-93,290
hconres295-93,296
hconres295-93,435
hconres295-93,469
hconres295-93,471
hconres295-93,473
hconres295-93,629
hconres295-93,662
hconres295-93,731
hconres295-93,759
hconres295-93,847
hconres295-93,945
hconres295-93,992
hconres295-93,1065
hconres295-93,1086
hconres295-93,1108
hconres295-93,1111
hconres295-93,1119
hconres295-93,1132
hconres296-93,1241
hconres297-93,19
hconres297-93,121
hconres297-93,151
hconres297-93,159
hconres297-93,181
hconres297-93,182
hconres297-93,185
hconres297-93,260
hconres297-93,269
hconres297-93,309
hconres297-93,402
hconres297-93,442
hconres297-93,513
hconres297-93,540
hconres297-93,574
hconres297-93,625
hconres297-93,727
hconres297-93,752
hconres297-93,804
hconres297-93,913
hconres297-93,1024
hconres297-93,1086
hconres297-93,1106
hconres297-93,1164
hconres297-93,1246
hconres298-93,568
hconres299-93,399
hconres299-93,568
hconres299-93,682
hconres299-93,806
hconres299-93,972
hconres299-93,1105
hconres300-93,117
hconres301-93,365
hconres302-93,614
hconres302-93,944
hconres303-93,221
hconres304-93,422
hconres305-93,73
hconres305-93,81
hconres305-93,134
hconres305-93,167
hconres305-93,227
hconres305-93,239
hconres305-93,253
hconres305-93,271
hconres305-93,315
hconres305-93,353
hconres305-93,393
hconres305-93,416
hconres305-93,422
hconres305-93,444
hconres305-93,477
hconres305-93,494
hconres305-93,741
hconres305-93,762
hconres305-93,804
hconres305-93,837
hconres305-93,890
hconres305-93,917
hconres305-93,974
hconres305-93,1146
hconres306-93,422
hconres306-93,837
hconres306-93,1131
hconres306-93,1146
hconres306-93,1156
hconres306-93,1235
hconres306-93,1248
hconres307-93,411
hconres308-93,411
hconres308-93,620
hconres308-93,759
hconres308-93,877
hconres308-93,953
hconres308-93,1109
hconres309-93,411
hconres309-93,620
hconres309-93,759
hconres309-93,820
hconres309-93,953
hconres309-93,1109
hconres309-93,1217
hconres309-93,1254
hconres310-93,382
hconres310-93,411
hconres311-93,382
hconres311-93,411
hconres312-93,382
hconres312-93,411
hconres313-93,382
hconres313-93,411
hconres314-93,420
hconres314-93,568
hconres315-93,1225
hconres316-93,3
hconres317-93,941
hconres318-93,1219
hconres319-93,3
hconres319-93,336
hconres319-93,411
hconres319-93,503
hconres320-93,134
hconres320-93,440
hconres320-93,477
hconres320-93,522
hconres320-93,568
hconres320-93,920
hconres320-93,982
hconres320-93,1132
hconres320-93,1193
hconres320-93,1235
hconres321-93,874
hconres322-93,336
hconres323-93,987
hconres324-93,16
hconres324-93,23
hconres324-93,40
hconres324-93,73
hconres324-93,104
hconres324-93,117
hconres324-93,118
hconres324-93,195
hconres324-93,280
